UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Global_UI,font_style_pref,Neuroticism,0.166754478221572,"Neuroticism, Openness, Conscientiousness","0.1668, 0.1505, 0.1386","primary_device, Neuroticism, current_mood","0.0483, 0.0418, 0.0311",0.04828259122900901
Global_UI,font_size_pref,Neuroticism,0.17503920832986536,"Neuroticism, Extraversion, Agreeableness","0.1750, 0.1392, 0.1336","current_mood, primary_persona, Extraversion","0.0462, 0.0355, 0.0321",0.046155994834408215
Global_UI,color_theme_pref,primary_persona,0.16154343095804555,"primary_persona, Neuroticism, current_mood","0.1615, 0.1456, 0.1414","primary_persona, Agreeableness, Neuroticism","0.0297, 0.0236, 0.0201",0.029734884043525305
Global_UI,accent_color_pref,current_mood,0.14699427782432262,"current_mood, Openness, Conscientiousness","0.1470, 0.1450, 0.1422","Openness, Neuroticism, current_mood","0.0274, 0.0197, 0.0191",0.027365374068513207
Global_UI,background_pref,Neuroticism,0.15390183913549016,"Neuroticism, Conscientiousness, primary_persona","0.1539, 0.1407, 0.1361","current_mood, Neuroticism, Extraversion","0.0483, 0.0318, 0.0272",0.04828990137877086
Global_UI,whitespace_pref,current_mood,0.15077847835127237,"current_mood, Neuroticism, Extraversion","0.1508, 0.1506, 0.1440","Openness, Neuroticism, Conscientiousness","0.0339, 0.0300, 0.0261",0.03388854266615276
Global_UI,button_style_pref,Neuroticism,0.1666568725148211,"Neuroticism, Conscientiousness, Extraversion","0.1667, 0.1406, 0.1381","Agreeableness, Openness, current_mood","0.0250, 0.0244, 0.0219",0.025044615049998425
Global_UI,hero_banner_size,Neuroticism,0.1608969971318128,"Neuroticism, Openness, Extraversion","0.1609, 0.1453, 0.1421","current_mood, Openness, primary_device","0.0408, 0.0405, 0.0306",0.04078750777312464
Global_UI,recommendation_type,Neuroticism,0.15404705777575067,"Neuroticism, Agreeableness, Extraversion","0.1540, 0.1435, 0.1403","Neuroticism, primary_persona, current_mood","0.0406, 0.0362, 0.0311",0.04055553676141661
Global_UI,social_proof_display,Neuroticism,0.16056404081992362,"Neuroticism, Conscientiousness, primary_persona","0.1606, 0.1469, 0.1468","Neuroticism, Extraversion, primary_device","0.0315, 0.0252, 0.0230",0.03152006716729635
Global_UI,urgency_pref,Neuroticism,0.15418811338782162,"Neuroticism, primary_persona, Conscientiousness","0.1542, 0.1436, 0.1400","primary_device, Neuroticism, current_mood","0.0320, 0.0309, 0.0304",0.03197838174348877
Global_UI,checkout_style,Neuroticism,0.17245258744732944,"Neuroticism, Conscientiousness, primary_persona","0.1725, 0.1614, 0.1333","Extraversion, current_mood, primary_device","0.0310, 0.0303, 0.0247",0.03097613547193547
Global_UI,form_field_style,primary_persona,0.15866901745945894,"primary_persona, Extraversion, Conscientiousness","0.1587, 0.1409, 0.1403","Agreeableness, primary_persona, Openness","0.0233, 0.0205, 0.0196",0.023307340896178044
Global_UI,product_desc_length,primary_persona,0.1540095354726442,"primary_persona, Neuroticism, Agreeableness","0.1540, 0.1496, 0.1384","primary_persona, Openness, Neuroticism","0.0410, 0.0343, 0.0338",0.0409993870133311
Desktop_UI,desktop_grid_pref,Agreeableness,0.14896533376456317,"Agreeableness, Conscientiousness, Neuroticism","0.1490, 0.1471, 0.1392","Openness, Agreeableness, current_mood","0.0256, 0.0248, 0.0223",0.025603168192623142
Desktop_UI,desktop_info_density,Neuroticism,0.1516035561058999,"Neuroticism, Extraversion, primary_persona","0.1516, 0.1495, 0.1406","Neuroticism, primary_device, current_mood","0.0366, 0.0360, 0.0338",0.036613181729662325
Desktop_UI,desktop_image_text_ratio,Neuroticism,0.14759171287105938,"Neuroticism, Agreeableness, primary_persona","0.1476, 0.1420, 0.1413","Neuroticism, Openness, Agreeableness","0.0350, 0.0318, 0.0282",0.03501225697927684
Desktop_UI,desktop_whitespace,Neuroticism,0.1734640320746739,"Neuroticism, Openness, Conscientiousness","0.1735, 0.1500, 0.1410","primary_device, Openness, Agreeableness","0.0450, 0.0338, 0.0299",0.04497102499333076
Desktop_UI,desktop_navigation,Neuroticism,0.1469126294681928,"Neuroticism, Openness, primary_persona","0.1469, 0.1438, 0.1381","Agreeableness, primary_device, Neuroticism","0.0352, 0.0336, 0.0330",0.035214559008019265
Desktop_UI,desktop_search_visibility,Neuroticism,0.1688294095120784,"Neuroticism, Agreeableness, Conscientiousness","0.1688, 0.1579, 0.1316","Extraversion, primary_persona, Agreeableness","0.0495, 0.0354, 0.0254",0.04953568965636855
Desktop_UI,desktop_category_display,Neuroticism,0.1593344978022734,"Neuroticism, Conscientiousness, Extraversion","0.1593, 0.1521, 0.1386","Agreeableness, primary_persona, current_mood","0.0364, 0.0330, 0.0246",0.0363836631085862
Desktop_UI,desktop_product_card,Neuroticism,0.1601909869000728,"Neuroticism, Conscientiousness, primary_persona","0.1602, 0.1421, 0.1375","Neuroticism, Openness, Agreeableness","0.0282, 0.0246, 0.0242",0.028151284518293324
Desktop_UI,desktop_price_display,Neuroticism,0.1487447892060389,"Neuroticism, Conscientiousness, Agreeableness","0.1487, 0.1481, 0.1383","Conscientiousness, Openness, primary_device","0.0401, 0.0351, 0.0288",0.04011943385433388
Desktop_UI,desktop_filter_location,Agreeableness,0.1557646206679608,"Agreeableness, Neuroticism, primary_persona","0.1558, 0.1554, 0.1418","Extraversion, current_mood, Openness","0.0467, 0.0425, 0.0277",0.046727344540163564
Desktop_UI,desktop_persistent_filters,Neuroticism,0.16702126489378236,"Neuroticism, current_mood, Openness","0.1670, 0.1461, 0.1320","Openness, primary_persona, Extraversion","0.0360, 0.0356, 0.0297",0.03601509161981057
